--------- beginning of crash
06-12 10:55:22.974 F/linker  (18505): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
--------- beginning of kernel
06-12 10:55:24.625 D/[ 3114.214845@2]  logd(    0): logdr: UID=0 GID=0 PID=18530 b tail=0 logMask=99 pid=0 start=0ns timeout=0ns
06-12 10:55:24.629 D/[ 3114.220407@1]  logd(    0): Skipping 4294967295 entries from slow reader, pid 18530, from LogBuffer::kickMe()
06-12 10:55:24.767 W/[ 3114.353857@3]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3436
--------- beginning of system
06-12 10:55:24.799 I/ActivityTaskManager(  628): START u0 {flg=0x10000000 cmp=in.startv.hotstar/com.hotstar.MainActivity} from uid 0
06-12 10:55:24.799 D/ActivityStarter(  628):  
06-12 10:55:24.799 D/ActivityStarter(  628): launchedPkgName :: in.startv.hotstar 
06-12 10:55:24.799 D/ActivityStarter(  628): callingPackage :: com.android.shell 
06-12 10:55:24.799 D/ActivityStarter(  628): callingUid :: 0 
06-12 10:55:24.799 D/ActivityStarter(  628): callingPid :: 18548
06-12 10:55:24.808 V/DigitalSignage(  628): Package Name: null
06-12 10:55:24.809 V/DigitalSignage(  628): Left: 0
06-12 10:55:24.809 V/DigitalSignage(  628): Right: 0
06-12 10:55:24.809 V/DigitalSignage(  628): Top: 0
06-12 10:55:24.809 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:24.809 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:24.814 D/CompatibilityChangeReporter(  628): Compat change id reported: 135634846; UID 10072; state: DISABLED
06-12 10:55:24.815 D/CompatibilityChangeReporter(  628): Compat change id reported: 143937733; UID 10072; state: ENABLED
06-12 10:55:24.834 I/ActivityManager(  628): Start proc 18551:in.startv.hotstar/u0a72 for activity {in.startv.hotstar/com.hotstar.MainActivity}
06-12 10:55:24.863 D/ActivityTaskManager(  628): JioHomeManagerService :: ActivityRecord :: setState :: StateFrom :: INITIALIZING StateTo :: RESUMED 
06-12 10:55:24.867 D/ActivityManager(  628): JioHomeManagerService :: StateFrom :: INITIALIZING StateTo :: RESUMED Activity :: in.startv.hotstar/com.hotstar.MainActivity Action :: com.jio.remote.action.applaunch
06-12 10:55:25.213 D/ConnectivityService(  628): NetReassign [no changes]
06-12 10:55:25.752 D/CompatibilityChangeReporter(  628): Compat change id reported: 136274596; UID 10072; state: ENABLED
06-12 10:55:25.889 V/DigitalSignage(  628): Package Name: null
06-12 10:55:25.889 V/DigitalSignage(  628): Left: 0
06-12 10:55:25.889 V/DigitalSignage(  628): Right: 0
06-12 10:55:25.889 V/DigitalSignage(  628): Top: 0
06-12 10:55:25.889 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:25.889 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:25.889 V/DigitalSignage(  628): Package Name: null
06-12 10:55:25.889 V/DigitalSignage(  628): Left: 0
06-12 10:55:25.889 V/DigitalSignage(  628): Right: 0
06-12 10:55:25.889 V/DigitalSignage(  628): Top: 0
06-12 10:55:25.889 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:25.889 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:25.966 V/DigitalSignage(  628): Package Name: null
06-12 10:55:25.966 V/DigitalSignage(  628): Left: 0
06-12 10:55:25.966 V/DigitalSignage(  628): Right: 0
06-12 10:55:25.966 V/DigitalSignage(  628): Top: 0
06-12 10:55:25.966 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:25.967 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:25.967 V/DigitalSignage(  628): Package Name: null
06-12 10:55:25.967 V/DigitalSignage(  628): Left: 0
06-12 10:55:25.967 V/DigitalSignage(  628): Right: 0
06-12 10:55:25.967 V/DigitalSignage(  628): Top: 0
06-12 10:55:25.967 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:25.967 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:25.979 V/DigitalSignage(  628): Package Name: null
06-12 10:55:25.979 V/DigitalSignage(  628): Left: 0
06-12 10:55:25.979 V/DigitalSignage(  628): Right: 0
06-12 10:55:25.979 V/DigitalSignage(  628): Top: 0
06-12 10:55:25.979 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:25.980 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:25.980 V/DigitalSignage(  628): Package Name: null
06-12 10:55:25.980 V/DigitalSignage(  628): Left: 0
06-12 10:55:25.980 V/DigitalSignage(  628): Right: 0
06-12 10:55:25.980 V/DigitalSignage(  628): Top: 0
06-12 10:55:25.980 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:25.980 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:26.795 V/DigitalSignage(  628): Package Name: null
06-12 10:55:26.795 V/DigitalSignage(  628): Left: 0
06-12 10:55:26.795 V/DigitalSignage(  628): Right: 0
06-12 10:55:26.795 V/DigitalSignage(  628): Top: 0
06-12 10:55:26.795 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:26.797 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:26.798 V/DigitalSignage(  628): Package Name: null
06-12 10:55:26.798 V/DigitalSignage(  628): Left: 0
06-12 10:55:26.798 V/DigitalSignage(  628): Right: 0
06-12 10:55:26.798 V/DigitalSignage(  628): Top: 0
06-12 10:55:26.798 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:26.798 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:26.801 V/DigitalSignage(  628): Package Name: null
06-12 10:55:26.801 V/DigitalSignage(  628): Left: 0
06-12 10:55:26.801 V/DigitalSignage(  628): Right: 0
06-12 10:55:26.801 V/DigitalSignage(  628): Top: 0
06-12 10:55:26.801 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:26.801 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:26.833 V/DigitalSignage(  628): Package Name: null
06-12 10:55:26.833 V/DigitalSignage(  628): Left: 0
06-12 10:55:26.833 V/DigitalSignage(  628): Right: 0
06-12 10:55:26.833 V/DigitalSignage(  628): Top: 0
06-12 10:55:26.833 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:26.833 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:27.981 F/linker  (18685): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 10:55:28.939 E/TaskPersister(  628): File error accessing recents directory (directory doesn't exist?).
06-12 10:55:29.749 W/[ 3119.337222@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 672
06-12 10:55:32.978 F/linker  (18695): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 10:55:34.969 D/CompatibilityChangeReporter(  628): Compat change id reported: 136274596; UID 10044; state: ENABLED
06-12 10:55:35.013 W/[ 3124.603307@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1650
06-12 10:55:35.369 W/[ 3124.956818@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1788
06-12 10:55:36.905 W/[ 3126.492900@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2255
06-12 10:55:37.990 F/linker  (18739): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 10:55:38.790 D/WindowManager(  628): Unhandled key: inputToken=android.os.BinderProxy@e5f0ce2, title=com.jio.stb.screensaver/android.service.dreams.DreamActivity, action=0, flags=8, keyCode=19, scanCode=103, metaState=0, repeatCount=0, policyFlags=1644167169
06-12 10:55:38.790 D/WindowManager(  628): No fallback.
06-12 10:55:38.794 D/ActivityTaskManager(  628): JioHomeManagerService :: ActivityRecord :: setState :: StateFrom :: STOPPED StateTo :: RESUMED 
06-12 10:55:38.798 D/ActivityManager(  628): JioHomeManagerService :: StateFrom :: STOPPED StateTo :: RESUMED Activity :: in.startv.hotstar/com.hotstar.MainActivity Action :: com.jio.remote.action.applaunch
06-12 10:55:38.806 V/DigitalSignage(  628): Package Name: null
06-12 10:55:38.806 V/DigitalSignage(  628): Left: 0
06-12 10:55:38.806 V/DigitalSignage(  628): Right: 0
06-12 10:55:38.806 V/DigitalSignage(  628): Top: 0
06-12 10:55:38.806 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:38.806 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:38.848 D/WindowManager(  628): Unhandled key: inputToken=android.os.BinderProxy@e5f0ce2, title=com.jio.stb.screensaver/android.service.dreams.DreamActivity, action=1, flags=40, keyCode=19, scanCode=103, metaState=0, repeatCount=0, policyFlags=1644167169
06-12 10:55:38.848 D/WindowManager(  628): No fallback.
06-12 10:55:38.862 V/DigitalSignage(  628): Package Name: null
06-12 10:55:38.862 V/DigitalSignage(  628): Left: 0
06-12 10:55:38.862 V/DigitalSignage(  628): Right: 0
06-12 10:55:38.862 V/DigitalSignage(  628): Top: 0
06-12 10:55:38.862 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:38.862 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:38.908 V/DigitalSignage(  628): Package Name: null
06-12 10:55:38.908 V/DigitalSignage(  628): Left: 0
06-12 10:55:38.908 V/DigitalSignage(  628): Right: 0
06-12 10:55:38.908 V/DigitalSignage(  628): Top: 0
06-12 10:55:38.908 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:38.909 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:38.922 V/DigitalSignage(  628): Package Name: null
06-12 10:55:38.922 V/DigitalSignage(  628): Left: 0
06-12 10:55:38.922 V/DigitalSignage(  628): Right: 0
06-12 10:55:38.922 V/DigitalSignage(  628): Top: 0
