--------- beginning of kernel
06-12 11:11:27.829 W/[ 4077.418805@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 14
06-12 11:11:28.690 D/[ 4078.276862@3]  logd(    0): logdr: UID=0 GID=0 PID=23330 b tail=0 logMask=99 pid=0 start=0ns timeout=0ns
06-12 11:11:28.690 D/[ 4078.278456@2]  logd(    0): Skipping 4294967295 entries from slow reader, pid 23330, from LogBuffer::kickMe()
--------- beginning of system
06-12 11:11:28.858 I/ActivityTaskManager(  628): START u0 {flg=0x10000000 cmp=in.startv.hotstar/com.hotstar.MainActivity} from uid 0
06-12 11:11:28.858 D/ActivityStarter(  628):  
06-12 11:11:28.858 D/ActivityStarter(  628): launchedPkgName :: in.startv.hotstar 
06-12 11:11:28.858 D/ActivityStarter(  628): callingPackage :: com.android.shell 
06-12 11:11:28.858 D/ActivityStarter(  628): callingUid :: 0 
06-12 11:11:28.858 D/ActivityStarter(  628): callingPid :: 23342
06-12 11:11:28.866 V/DigitalSignage(  628): Package Name: null
06-12 11:11:28.866 V/DigitalSignage(  628): Left: 0
06-12 11:11:28.866 V/DigitalSignage(  628): Right: 0
06-12 11:11:28.866 V/DigitalSignage(  628): Top: 0
06-12 11:11:28.866 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:28.866 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:28.884 D/CompatibilityChangeReporter(  628): Compat change id reported: 135634846; UID 10072; state: DISABLED
06-12 11:11:28.885 D/CompatibilityChangeReporter(  628): Compat change id reported: 143937733; UID 10072; state: ENABLED
06-12 11:11:28.904 V/DigitalSignage(  628): Package Name: null
06-12 11:11:28.904 V/DigitalSignage(  628): Left: 0
06-12 11:11:28.904 V/DigitalSignage(  628): Right: 0
06-12 11:11:28.905 V/DigitalSignage(  628): Top: 0
06-12 11:11:28.905 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:28.905 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:28.931 I/ActivityManager(  628): Start proc 23345:in.startv.hotstar/u0a72 for pre-top-activity {in.startv.hotstar/com.hotstar.MainActivity}
06-12 11:11:28.934 V/DigitalSignage(  628): Package Name: null
06-12 11:11:28.934 V/DigitalSignage(  628): Left: 0
06-12 11:11:28.934 V/DigitalSignage(  628): Right: 0
06-12 11:11:28.934 V/DigitalSignage(  628): Top: 0
06-12 11:11:28.934 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:28.935 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
--------- beginning of crash
06-12 11:11:28.961 F/linker  (23365): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 11:11:28.963 D/ActivityTaskManager(  628): JioHomeManagerService :: ActivityRecord :: setState :: StateFrom :: INITIALIZING StateTo :: RESUMED 
06-12 11:11:28.972 V/DigitalSignage(  628): Package Name: null
06-12 11:11:28.972 V/DigitalSignage(  628): Left: 0
06-12 11:11:28.972 V/DigitalSignage(  628): Right: 0
06-12 11:11:28.972 V/DigitalSignage(  628): Top: 0
06-12 11:11:28.972 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:28.972 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:28.980 D/ActivityManager(  628): JioHomeManagerService :: StateFrom :: INITIALIZING StateTo :: RESUMED Activity :: in.startv.hotstar/com.hotstar.MainActivity Action :: com.jio.remote.action.applaunch
06-12 11:11:28.989 V/DigitalSignage(  628): Package Name: null
06-12 11:11:28.989 V/DigitalSignage(  628): Left: 0
06-12 11:11:28.989 V/DigitalSignage(  628): Right: 0
06-12 11:11:28.989 V/DigitalSignage(  628): Top: 0
06-12 11:11:28.989 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:28.990 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:29.373 D/ConnectivityService(  628): NetReassign [no changes]
06-12 11:11:29.374 V/DigitalSignage(  628): Package Name: null
06-12 11:11:29.374 V/DigitalSignage(  628): Left: 0
06-12 11:11:29.374 V/DigitalSignage(  628): Right: 0
