--------- beginning of main
06-12 16:27:12.565 D/Glide   ( 1781): Finished loading Bitmap from LOCAL for com.bumptech.glide.gifdecoder.StandardGifDecoder@fb55452 with size [314x176] in 15.022625 ms
--------- beginning of crash
06-12 16:27:15.327 F/linker  ( 5567): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
--------- beginning of kernel
06-12 16:27:15.587 D/[ 5910.943226@1]  logd(    0): logdr: UID=0 GID=0 PID=5572 b tail=0 logMask=99 pid=0 start=0ns timeout=0ns
06-12 16:27:15.604 D/[ 5910.957969@3]  logd(    0): Skipping 4294966941 entries from slow reader, pid 5572, from LogBuffer::kickMe()
--------- beginning of system
06-12 16:27:15.821 I/ActivityTaskManager(  632): START u0 {flg=0x10000000 cmp=in.startv.hotstar/com.hotstar.MainActivity} from uid 0
06-12 16:27:15.822 D/ActivityStarter(  632):  
06-12 16:27:15.822 D/ActivityStarter(  632): launchedPkgName :: in.startv.hotstar 
06-12 16:27:15.822 D/ActivityStarter(  632): callingPackage :: com.android.shell 
06-12 16:27:15.822 D/ActivityStarter(  632): callingUid :: 0 
06-12 16:27:15.822 D/ActivityStarter(  632): callingPid :: 5584
06-12 16:27:15.834 V/DigitalSignage(  632): Package Name: null
06-12 16:27:15.834 V/DigitalSignage(  632): Left: 0
06-12 16:27:15.834 V/DigitalSignage(  632): Right: 0
06-12 16:27:15.834 V/DigitalSignage(  632): Top: 0
06-12 16:27:15.834 V/DigitalSignage(  632): Bottom: 0
06-12 16:27:15.834 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:27:15.845 D/CompatibilityChangeReporter(  632): Compat change id reported: 135634846; UID 10072; state: DISABLED
06-12 16:27:15.846 D/CompatibilityChangeReporter(  632): Compat change id reported: 143937733; UID 10072; state: ENABLED
06-12 16:27:15.866 I/ActivityManager(  632): Start proc 5587:in.startv.hotstar/u0a72 for pre-top-activity {in.startv.hotstar/com.hotstar.MainActivity}
06-12 16:27:15.896 V/DigitalSignage(  632): Package Name: null
06-12 16:27:15.896 V/DigitalSignage(  632): Left: 0
06-12 16:27:15.896 V/DigitalSignage(  632): Right: 0
06-12 16:27:15.896 V/DigitalSignage(  632): Top: 0
06-12 16:27:15.896 V/DigitalSignage(  632): Bottom: 0
06-12 16:27:15.896 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:27:15.915 D/ActivityTaskManager(  632): JioHomeManagerService :: ActivityRecord :: setState :: StateFrom :: INITIALIZING StateTo :: RESUMED 
06-12 16:27:15.924 D/ActivityManager(  632): JioHomeManagerService :: StateFrom :: INITIALIZING StateTo :: RESUMED Activity :: in.startv.hotstar/com.hotstar.MainActivity Action :: com.jio.remote.action.applaunch
06-12 16:27:15.927 V/DigitalSignage(  632): Package Name: null
06-12 16:27:15.927 V/DigitalSignage(  632): Left: 0
06-12 16:27:15.927 V/DigitalSignage(  632): Right: 0
06-12 16:27:15.927 V/DigitalSignage(  632): Top: 0
06-12 16:27:15.927 V/DigitalSignage(  632): Bottom: 0
06-12 16:27:15.927 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:27:15.935 V/DigitalSignage(  632): Package Name: null
06-12 16:27:15.935 V/DigitalSignage(  632): Left: 0
06-12 16:27:15.935 V/DigitalSignage(  632): Right: 0
06-12 16:27:15.935 V/DigitalSignage(  632): Top: 0
06-12 16:27:15.935 V/DigitalSignage(  632): Bottom: 0
06-12 16:27:15.936 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:27:15.954 V/DigitalSignage(  632): Package Name: null
06-12 16:27:15.954 V/DigitalSignage(  632): Left: 0
06-12 16:27:15.954 V/DigitalSignage(  632): Right: 0
06-12 16:27:15.954 V/DigitalSignage(  632): Top: 0
06-12 16:27:15.954 V/DigitalSignage(  632): Bottom: 0
06-12 16:27:15.954 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:27:16.358 V/DigitalSignage(  632): Package Name: null
06-12 16:27:16.359 V/DigitalSignage(  632): Left: 0
06-12 16:27:16.359 V/DigitalSignage(  632): Right: 0
06-12 16:27:16.359 V/DigitalSignage(  632): Top: 0
06-12 16:27:16.359 V/DigitalSignage(  632): Bottom: 0
06-12 16:27:16.359 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:27:16.372 D/ConnectivityService(  632): NetReassign [no changes]
06-12 16:27:16.382 V/DigitalSignage(  632): Package Name: null
06-12 16:27:16.382 V/DigitalSignage(  632): Left: 0
06-12 16:27:16.382 V/DigitalSignage(  632): Right: 0
06-12 16:27:16.382 V/DigitalSignage(  632): Top: 0
06-12 16:27:16.382 V/DigitalSignage(  632): Bottom: 0
06-12 16:27:16.382 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:27:16.775 D/CompatibilityChangeReporter(  632): Compat change id reported: 136274596; UID 10072; state: ENABLED
06-12 16:27:16.951 V/DigitalSignage(  632): Package Name: null
06-12 16:27:16.951 V/DigitalSignage(  632): Left: 0
06-12 16:27:16.951 V/DigitalSignage(  632): Right: 0
06-12 16:27:16.951 V/DigitalSignage(  632): Top: 0
06-12 16:27:16.951 V/DigitalSignage(  632): Bottom: 0
06-12 16:27:16.951 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:27:16.951 V/DigitalSignage(  632): Package Name: null
06-12 16:27:16.951 V/DigitalSignage(  632): Left: 0
06-12 16:27:16.951 V/DigitalSignage(  632): Right: 0
06-12 16:27:16.951 V/DigitalSignage(  632): Top: 0
06-12 16:27:16.952 V/DigitalSignage(  632): Bottom: 0
06-12 16:27:16.952 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:27:17.064 V/DigitalSignage(  632): Package Name: null
06-12 16:27:17.064 V/DigitalSignage(  632): Left: 0
06-12 16:27:17.064 V/DigitalSignage(  632): Right: 0
06-12 16:27:17.064 V/DigitalSignage(  632): Top: 0
06-12 16:27:17.064 V/DigitalSignage(  632): Bottom: 0
06-12 16:27:17.064 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
