--------- beginning of kernel
06-12 16:33:40.389 E/[ 6295.741928@1]  selinux(    0): SELinux:  Could not stat /sys/kernel/dmabuf/buffers/1457966/attachments: No such file or directory.
06-12 16:33:40.389 E/[ 6295.741946@1]  selinux(    0):  
06-12 16:33:40.389 E/[ 6295.745638@1]  selinux(    0): SELinux:  Could not stat /sys/kernel/dmabuf/buffers/1457968/attachments: No such file or directory.
06-12 16:33:40.389 E/[ 6295.745654@1]  selinux(    0):  
06-12 16:33:40.565 D/[ 6295.919357@3]  logd(    0): logdr: UID=0 GID=0 PID=8154 b tail=0 logMask=99 pid=0 start=0ns timeout=0ns
06-12 16:33:40.571 D/[ 6295.928255@1]  logd(    0): Skipping 4294967295 entries from slow reader, pid 8154, from LogBuffer::kickMe()
--------- beginning of crash
06-12 16:33:40.707 F/linker  ( 8164): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
--------- beginning of system
06-12 16:33:40.788 I/ActivityTaskManager(  632): START u0 {flg=0x10000000 cmp=in.startv.hotstar/com.hotstar.MainActivity} from uid 0
06-12 16:33:40.789 D/ActivityStarter(  632):  
06-12 16:33:40.789 D/ActivityStarter(  632): launchedPkgName :: in.startv.hotstar 
06-12 16:33:40.789 D/ActivityStarter(  632): callingPackage :: com.android.shell 
06-12 16:33:40.789 D/ActivityStarter(  632): callingUid :: 0 
06-12 16:33:40.789 D/ActivityStarter(  632): callingPid :: 8167
06-12 16:33:40.811 V/DigitalSignage(  632): Package Name: null
06-12 16:33:40.811 V/DigitalSignage(  632): Left: 0
06-12 16:33:40.811 V/DigitalSignage(  632): Right: 0
06-12 16:33:40.811 V/DigitalSignage(  632): Top: 0
06-12 16:33:40.811 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:40.811 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:40.824 D/CompatibilityChangeReporter(  632): Compat change id reported: 135634846; UID 10072; state: DISABLED
