--------- beginning of crash
06-12 23:12:35.588 F/linker  (19094): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
--------- beginning of system
06-12 23:12:36.297 W/ActivityManager(  637): Slow operation: 52ms so far, now at getContentProviderImpl: after updateLruProcess
06-12 23:12:36.297 W/ActivityManager(  637): Slow operation: 52ms so far, now at getContentProviderImpl: before updateOomAdj
06-12 23:12:36.297 W/ActivityManager(  637): Slow operation: 53ms so far, now at getContentProviderImpl: after updateOomAdj
06-12 23:12:36.297 W/ActivityManager(  637): Slow operation: 53ms so far, now at getContentProviderImpl: done!
--------- beginning of kernel
06-12 23:12:36.743 D/[ 2923.864011@0]  logd(    0): logdr: UID=0 GID=0 PID=19124 b tail=0 logMask=99 pid=0 start=0ns timeout=0ns
06-12 23:12:36.743 D/[ 2923.864425@0]  logd(    0): Skipping 4294967295 entries from slow reader, pid 19124, from LogBuffer::kickMe()
06-12 23:12:36.964 I/ActivityTaskManager(  637): START u0 {flg=0x10000000 cmp=in.startv.hotstar/com.hotstar.MainActivity} from uid 0
06-12 23:12:36.965 D/ActivityStarter(  637):  
06-12 23:12:36.965 D/ActivityStarter(  637): launchedPkgName :: in.startv.hotstar 
06-12 23:12:36.965 D/ActivityStarter(  637): callingPackage :: com.android.shell 
06-12 23:12:36.965 D/ActivityStarter(  637): callingUid :: 0 
06-12 23:12:36.965 D/ActivityStarter(  637): callingPid :: 19136
06-12 23:12:36.996 V/DigitalSignage(  637): Package Name: null
06-12 23:12:36.996 V/DigitalSignage(  637): Left: 0
06-12 23:12:36.996 V/DigitalSignage(  637): Right: 0
06-12 23:12:36.996 V/DigitalSignage(  637): Top: 0
06-12 23:12:36.996 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:36.996 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:37.013 D/CompatibilityChangeReporter(  637): Compat change id reported: 135634846; UID 10072; state: DISABLED
06-12 23:12:37.014 D/CompatibilityChangeReporter(  637): Compat change id reported: 143937733; UID 10072; state: ENABLED
06-12 23:12:37.041 I/ActivityManager(  637): Start proc 19139:in.startv.hotstar/u0a72 for pre-top-activity {in.startv.hotstar/com.hotstar.MainActivity}
06-12 23:12:37.062 V/DigitalSignage(  637): Package Name: null
06-12 23:12:37.062 V/DigitalSignage(  637): Left: 0
06-12 23:12:37.062 V/DigitalSignage(  637): Right: 0
06-12 23:12:37.062 V/DigitalSignage(  637): Top: 0
06-12 23:12:37.062 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:37.062 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:37.062 V/DigitalSignage(  637): Package Name: null
06-12 23:12:37.062 V/DigitalSignage(  637): Left: 0
06-12 23:12:37.062 V/DigitalSignage(  637): Right: 0
06-12 23:12:37.062 V/DigitalSignage(  637): Top: 0
06-12 23:12:37.062 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:37.063 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:37.102 V/DigitalSignage(  637): Package Name: null
06-12 23:12:37.102 V/DigitalSignage(  637): Left: 0
06-12 23:12:37.102 V/DigitalSignage(  637): Right: 0
06-12 23:12:37.102 V/DigitalSignage(  637): Top: 0
06-12 23:12:37.102 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:37.102 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:37.225 D/ActivityTaskManager(  637): JioHomeManagerService :: ActivityRecord :: setState :: StateFrom :: INITIALIZING StateTo :: RESUMED 
06-12 23:12:37.230 V/DigitalSignage(  637): Package Name: null
06-12 23:12:37.230 V/DigitalSignage(  637): Left: 0
06-12 23:12:37.230 V/DigitalSignage(  637): Right: 0
06-12 23:12:37.230 V/DigitalSignage(  637): Top: 0
06-12 23:12:37.230 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:37.231 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:37.248 V/DigitalSignage(  637): Package Name: null
06-12 23:12:37.248 V/DigitalSignage(  637): Left: 0
06-12 23:12:37.248 V/DigitalSignage(  637): Right: 0
06-12 23:12:37.248 V/DigitalSignage(  637): Top: 0
06-12 23:12:37.248 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:37.248 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:37.253 D/ActivityManager(  637): JioHomeManagerService :: StateFrom :: INITIALIZING StateTo :: RESUMED Activity :: in.startv.hotstar/com.hotstar.MainActivity Action :: com.jio.remote.action.applaunch
06-12 23:12:37.276 V/DigitalSignage(  637): Package Name: null
06-12 23:12:37.276 V/DigitalSignage(  637): Left: 0
06-12 23:12:37.276 V/DigitalSignage(  637): Right: 0
06-12 23:12:37.276 V/DigitalSignage(  637): Top: 0
06-12 23:12:37.276 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:37.277 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:37.647 V/DigitalSignage(  637): Package Name: null
06-12 23:12:37.647 V/DigitalSignage(  637): Left: 0
06-12 23:12:37.647 V/DigitalSignage(  637): Right: 0
06-12 23:12:37.647 V/DigitalSignage(  637): Top: 0
06-12 23:12:37.647 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:37.647 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.121 D/ConnectivityService(  637): NetReassign [no changes]
06-12 23:12:38.304 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.304 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.304 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.304 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.304 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.305 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.392 D/CompatibilityChangeReporter(  637): Compat change id reported: 136274596; UID 10072; state: ENABLED
06-12 23:12:38.499 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.499 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.499 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.499 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.499 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.500 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.500 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.500 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.500 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.500 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.500 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.500 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.597 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.597 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.597 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.597 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.597 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.597 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.598 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.598 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.598 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.598 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.598 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.598 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.600 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.600 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.600 V/DigitalSignage(  637): Right: 0
06-12 23:12:38.600 V/DigitalSignage(  637): Top: 0
06-12 23:12:38.600 V/DigitalSignage(  637): Bottom: 0
06-12 23:12:38.600 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:12:38.601 V/DigitalSignage(  637): Package Name: null
06-12 23:12:38.601 V/DigitalSignage(  637): Left: 0
06-12 23:12:38.601 V/DigitalSignage(  637): Right: 0
