--------- beginning of main
06-12 23:20:28.576 W/ServerBootstrap(21098): Unknown channel option 'SO_KEEPALIVE' for channel '[id: 0x5c9caeec]'
06-12 23:20:28.578 W/ServerBootstrap(21098): Unknown channel option 'TCP_NODELAY' for channel '[id: 0x5c9caeec]'
06-12 23:20:28.580 I/chatty  (  403): uid=0(root) DK-SiCntrl expire 202 lines
--------- beginning of kernel
06-12 23:20:30.011 W/[ 3397.131357@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1863
06-12 23:20:30.539 D/[ 3397.654446@2]  logd(    0): logdr: UID=0 GID=0 PID=21191 b tail=0 logMask=99 pid=0 start=0ns timeout=0ns
06-12 23:20:30.547 D/[ 3397.666533@2]  logd(    0): Skipping 4294967295 entries from slow reader, pid 21191, from LogBuffer::kickMe()
--------- beginning of system
06-12 23:20:30.946 I/ActivityTaskManager(  637): START u0 {flg=0x10000000 cmp=in.startv.hotstar/com.hotstar.MainActivity} from uid 0
06-12 23:20:30.946 D/ActivityStarter(  637):  
06-12 23:20:30.946 D/ActivityStarter(  637): launchedPkgName :: in.startv.hotstar 
06-12 23:20:30.946 D/ActivityStarter(  637): callingPackage :: com.android.shell 
06-12 23:20:30.946 D/ActivityStarter(  637): callingUid :: 0 
06-12 23:20:30.946 D/ActivityStarter(  637): callingPid :: 21209
06-12 23:20:30.954 V/DigitalSignage(  637): Package Name: null
06-12 23:20:30.954 V/DigitalSignage(  637): Left: 0
06-12 23:20:30.954 V/DigitalSignage(  637): Right: 0
06-12 23:20:30.954 V/DigitalSignage(  637): Top: 0
06-12 23:20:30.954 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:30.955 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:30.975 D/CompatibilityChangeReporter(  637): Compat change id reported: 135634846; UID 10072; state: DISABLED
06-12 23:20:30.976 D/CompatibilityChangeReporter(  637): Compat change id reported: 143937733; UID 10072; state: ENABLED
06-12 23:20:30.987 V/DigitalSignage(  637): Package Name: null
06-12 23:20:30.987 V/DigitalSignage(  637): Left: 0
06-12 23:20:30.987 V/DigitalSignage(  637): Right: 0
06-12 23:20:30.987 V/DigitalSignage(  637): Top: 0
06-12 23:20:30.987 V/DigitalSignage(  637): Bottom: 0
